AUSTRALIE,Filhol, ambassadeur,5 juillet 2008.
AUTRICHE,De Monicault,chargé de la L�gation,5 juillet 1946.
AUTRICHE,Le même,envoyé extraordinaire et ministre plénipotentiaire,24 août 1946.
AUTRICHE,Payart, ambassadeur de France,30 octobre 1950.
AUTRICHE,Le même, ambassadeur,15 décembre 1951.
AUTRICHE,Chauvel, ambassadeur,19 janvier 1955.
AUTRICHE,Seydoux de Clausonne (Fran�ois), ambassadeur,18 août 1955.
AUTRICHE,De Crouy-Chanel (�tienne), ambassadeur,15 septembre 1958.
AUTRICHE,Brouillet, ambassadeur,28 juillet 1961.
AUTRICHE,Roch� (Louis), ambassadeur,17 décembre 1963.
AUTRICHE,Leduc, ambassadeur,5 décembre 1968.
AUTRICHE,Jordan, ambassadeur,7 novembre 1973.
AUTRICHE,Gaucher, ambassadeur,5 novembre 1975.
AUTRICHE,Schricke (Jacques), ambassadeur,30 août 1978.
AUTRICHE,Bressier (Raymond), ambassadeur,12 mai 1981.
AUTRICHE,Audibert, ambassadeur,19 mai 1983.
AUTRICHE,Bastide, ambassadeur,23 avril 1985.
AUTRICHE,Noiville, ambassadeur ,7 décembre 1988.
AUTRICHE,Lewin, ambassadeur,21 juin 1991.
AUTRICHE,De Hartingh, ambassadrice,2 avril 1996.
AUTRICHE,Cadet, ambassadeur,28 novembre 1997.
AUTRICHE,Catta, ambassadeur,19 octobre 2001.
AUTRICHE,Viaux, ambassadeur,13 janvier 2005.
AUTRICHE,Carr�, ambassadeur,1er octobre 2008.
AZERBAÏDJAN,Perrin (Jean), ambassadeur,21 avril 1992.
AZERBAÏDJAN,Guinhut, ambassadeur,9 mai 1996.
AZERBAÏDJAN,Poiret, ambassadrice,24 août 2001.
AZERBAÏDJAN,Blatmann, ambassadeur,10 juin 2004.
AZERBAÏDJAN,Amaudric du Chaffaut, ambassadeur,28 février 2006.
AZERBAÏDJAN,Keller, ambassadeur,1er juillet 2008.
BAHAMAS,Gar�s, ambassadeur,6 novembre 1974.
BAHAMAS,Mistral, ambassadeur,21 septembre 1979.
BAHAMAS,Massenet, ambassadeur,24 septembre 1982.
BAHAMAS,Reuillard, ambassadeur,14 mai 1986.
BAHAMAS,Amiot, ambassadeur,28 août 1991.
BAHAMAS,Vinson, ambassadeur,11 avril 1994.
BAHAMAS,Vidal (Henri), ambassadeur,15 septembre 1997.
BAHAMAS,Deniau (Fran�ois-Xavier), ambassadeur,2 juillet 1998.
BAHAMAS,Berniard, ambassadeur,30 août 2000.
BAHAMAS,Hurtut, ambassadeur,16 octobre 2004.
BAHAMAS,Gendry, ambassadeur,25 novembre 2008.
BAHREÏN,Carton, ambassadeur,19 avril 1972.
BAHREÏN,Bourgoin, ambassadeur,16 janvier 1974.
BAHREÏN,Fougerouse, ambassadeur,27 septembre 1977.
BAHREÏN,Molinari, ambassadeur,16 septembre 1981.
BAHREÏN,Justinard, ambassadeur,23 août 1984.
BAHREÏN,Boillot, ambassadeur,11 avril 1988.
BAHREÏN,Pavec, ambassadeur,1er avril 1992.
BAHREÏN,Duquin, ambassadeur,17 septembre 1996.
BAHREÏN,Limido, ambassadrice,27 avril 2001.
BAHREÏN,B�rak, ambassadrice,16 septembre 2004.
BAHREÏN,Oudin, ambassadeur,3 septembre 2008.
BANGLADESH,Millet (Pierre), ambassadeur,17 mars 1972.
BANGLADESH,Duvauchelle, ambassadeur,10 janvier 1975.
BANGLADESH,Moreau (Louis), ambassadeur,30 août 1978.
BANGLADESH,Le Caruyer de Beauvais (Samuel), ambassadeur,5 octobre 1982.
BANGLADESH,Filliol, ambassadeur,27 novembre 1985.
BANGLADESH,Degallaix, ambassadeur,12 décembre 1989.
BANGLADESH,Lacombe, ambassadeur,12 novembre 1992.
BANGLADESH,Veyret, ambassadrice,16 novembre 1995.
BANGLADESH,Briottet, ambassadeur,7 octobre 1999.
BANGLADESH,Lummaux, ambassadeur,12 septembre 2000.
BANGLADESH,Costilhes, ambassadeur,6 octobre 2004.
