LISTE CHRONOLOGIQUE;;;
;;;
DES AMBASSADEURS, ENVOYÉS EXTRAORDINAIRES,;;;
;;;
MINISTRES PLÉNIPOTENTIAIRES;;;
;;;
ET CHARGÉS D'AFFAIRES DE FRANCE À L'ÉTRANGER;;;
;;;
DEPUIS 1945;;;
;;mise à jour : 25/02/2011;
;;;

AFGHANISTAN;;;

;Dubois (Hélène), ambassadrice;7 août 1996.
MM.;Losguardi, ambassadeur;2 décembre 1998.
;Vidal (Henri), ambassadeur;9 octobre 2000.
;Venzo, ambassadeur;17 septembre 2003.
Mme;Sauteraud, ambassadrice;22 mars 2007.
;Prom, ambassadeur;26 octobre 2009.

ARABIE  SAOUDITE;;

MM.;Maigret, délégué du Comité national français;1er juin 1942.
;Le même, délégué du Gouvernement provisoire;29 janvier 1945.
;Rageot, envoyé extraordinaire et ministre plénipotentiaire;17 avril 1945.
;Bencheneb, envoyé extraordinaire et ministre plénipotentiaire;16 janvier 1947.
;Gueyraud, envoyé extraordinaire et ministre plénipotentiaire ;21 avril 1949.
;Le même, ambassadeur ;9 octobre 1952.
;Filliol, ambassadeur;10 février 1955.
;Cassin, ambassadeur;du 25 novembre 1955,
;;au 06 novembre 1956,
;Soulié, ambassadeur;31 octobre 1962.
;Revol, ambassadeur ;7 septembre 1964.
;De Bouteiller, ambassadeur;23 septembre 1967.
;Richard (Robert), ambassadeur;17 janvier 1975.
;Drumetz, ambassadeur;17 janvier 1979.
;Rocalve, ambassadeur;16 décembre 1981.
;Lopinot, ambassadeur;13 mai 1985.
;Bernière, ambassadeur;5 septembre 1986.
;Bressot, ambassadeur;4 décembre 1991.
;Forquenot de La Fortelle, ambassadeur;24 mai 1994.
;Poletti, ambassadeur;20 août 1998.
;Bancalis de Maurel d’Aragon, ambassadeur;22 octobre 2004.
;Besancenot (Bertrand), ambassadeur;17 juillet 2007.

ARGENTINE;;

MM.;Lancial, délégué du Comité national français;28 octobre 1942.
;Lefèvre d'Ormesson (Wladimir), ambassadeur;15 mai 1945.
;Georges-Picot (Guillaume), ambassadeur;16 novembre 1948.
;De Girard de Charbonnière, ambassadeur;19 décembre 1951.
;Baudet, ambassadeur;10 septembre 1955.
;Cornut-Gentille, ambassadeur;5 février 1957.
;De Blanquet du Chayla, ambassadeur;1er août 1958.
;Paul-Boncour, ambassadeur;8 juin 1962.
;Jacquin de Margerie (Christian), ambassadeur;4 octobre 1963.
;De La Chevardière de La Grandville, ambassadeur;5 avril 1968.
;Winckler (Jean-Claude), ambassadeur;4 février 1972.
;De La Gorce, ambassadeur;16 juin 1976.
;Destremau, ambassadeur;29 novembre 1978.
;Paolini, ambassadeur;7 décembre 1981.
;Blanca, ambassadeur;5 avril 1984.
;Décamps, ambassadeur;14 décembre 1988.
;Guidoni, ambassadeur;1er août 1991.
;Vignal (Renaud), ambassadeur;28 juillet 1993.
;Dijoud, ambassadeur;26 mai 1997.
;Lott, ambassadeur;26 juin 2003.
;Baleine du Laurens, ambassadeur;18 octobre 2006.
;Asvazadourian, ambassadeur;11 novembre 2009.

ARMÉNIE;;

Mme;De Hartingh, ambassadrice;21 avril 1992.
MM.;Legras (Michel), ambassadeur;26 juin 1996.
;Cuny (Henry), ambassadeur;19 décembre 2001.
;Smessow, ambassadeur;3 novembre 2006.
;Reynaud, ambassadeur;22 septembre 2010.
AUSTRALIE;;

MM.;Augé, ministre plénipotentiaire et envoyé extraordinaire;13 décembre 1944.
